"","unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","MITMel.cellid","MITMel.tissueid","VISAGE.cellid","VISAGE.tissueid"
"59","A-JUN 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-JUN 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-JUN 1592021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","A-JUN 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A-JUN 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Miscellaneous Tumors",NA,NA,"A-JUN 3602021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","A101D","Skin","A101D","A101D","A101D",NA,NA,NA,"A101D",NA,"A101D","A101D","A101D",NA,"A101D",NA,"A101D",NA,"A101D_SKIN","skin","skin","skin",NA,NA,NA,"Skin","skin","skin",NA,NA,"skin","skin",NA,"skin","A101D","skin",NA,NA,NA,"skin","CVCL_1057","A101D_34_2019","A101D","skin","Melanoma","Cancer cell line",NA,"ACH-000008","A101D","Skin",NA,NA
"62","A2058","Skin","A2058","A2058",NA,NA,"A2058",NA,"A2058",NA,"A2058","A2058","A2058",NA,"A2058","A2058","A2058",NA,"A2058_SKIN","skin","skin",NA,NA,"Skin",NA,"Skin","skin",NA,NA,NA,"skin","skin","Skin","skin","A2058","skin",NA,NA,NA,"skin","CVCL_1059","A2058_38_2019","A2058","skin","Amelanotic melanoma","Cancer cell line",TRUE,"ACH-000788","A2058","Skin",NA,NA
"63","A2780","Ovary/Fallopian Tube","A2780","A2780","A2780",NA,"A2780","A2780","A2780",NA,"A2780","A2780","A2780",NA,"A2780","A2780","A2780",NA,"A2780_OVARY","ovary","ovary","ovary",NA,"Ovary","OVARY","Ovary","ovary","urogenital_system",NA,NA,"ovary","ovary","Ovary","ovary","A2780","ovary",NA,NA,NA,"ovary","CVCL_0134","A2780_40_2019","A2780","ovary","Ovarian endometrioid adenocarcinoma","Cancer cell line",NA,"ACH-000657",NA,NA,NA,NA
"64","A3/Kawakami","Lymphoid","A3-KAW","A3/KAW",NA,NA,"A3/KAW",NA,"A3-KAW",NA,"A3_KAW","A3_KAW","A3-KAW",NA,"A3KAW","A3-KAW","A3-KAW",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,"Blood",NA,"Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1062","A3KAW_41_2019","A3-KAW","haematopoietic_and_lymphoid_tissue","Diffuse large B-cell lymphoma","Cancer cell line",NA,"ACH-000697",NA,NA,NA,NA
"65","A375SKINCJ1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A375SKINCJ1652021_",NA,NA,NA,NA,NA,"ACH-002001",NA,NA,NA,NA
"66","A375SKINCJ2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A375SKINCJ2662021_",NA,NA,NA,NA,NA,"ACH-002002",NA,NA,NA,NA
"67","A375SKINCJ3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A375SKINCJ3672021_",NA,NA,NA,NA,NA,"ACH-002003",NA,NA,NA,NA
"68","A4/Fukuda","Lymphoid","A4-Fuk","A4/Fuk",NA,NA,"A4/Fuk",NA,"A4-Fuk",NA,"A4_Fuk","A4_Fuk","A4-Fuk",NA,"A4FUK","A4-Fuk","A4-Fuk",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,"Blood",NA,"Skin","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1064","A4Fuk_44_2019","A4-Fuk","haematopoietic_and_lymphoid_tissue","B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000157",NA,NA,NA,NA
"69","A673STAG2KO16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A673STAG2KO16692021_",NA,NA,NA,NA,NA,"ACH-001007",NA,NA,NA,NA
"70","A673STAG2KO45",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A673STAG2KO45702021_",NA,NA,NA,NA,NA,"ACH-001008",NA,NA,NA,NA
"71","A673STAG2NT14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A673STAG2NT14712021_",NA,NA,NA,NA,NA,"ACH-001009",NA,NA,NA,NA
"72","A673STAG2NT23",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A673STAG2NT23722021_",NA,NA,NA,NA,NA,"ACH-001010",NA,NA,NA,NA
"73","A7","Skin",NA,NA,"A7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"skin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A7732021_",NA,"skin",NA,NA,NA,NA,NA,NA,NA,NA
"74","ABC-1","Lung","ABC-1","ABC-1",NA,NA,"ABC-1",NA,"ABC-1",NA,"ABC-1","ABC-1","ABC-1",NA,NA,"ABC-1","ABC-1",NA,"ABC1_LUNG","lung","lung",NA,NA,"Lung",NA,"Lung:NSCLC","lung","lung",NA,NA,"lung",NA,"Lung","lung",NA,NA,NA,NA,NA,"lung","CVCL_1066","ABC1_51_2019","ABC-1","lung","Lung adenocarcinoma","Cancer cell line",TRUE,"ACH-000528",NA,NA,NA,NA
"75","ACC-MESO-1","Pleura",NA,"ACC-MESO-1",NA,NA,NA,NA,NA,NA,"ACC-MESO-1","ACC-MESO-1",NA,NA,"ACCMESO1",NA,NA,NA,"ACCMESO1_PLEURA",NA,"pleura",NA,NA,NA,NA,NA,"pleura",NA,NA,NA,"pleura","pleura",NA,NA,"ACCMESO1","pleura",NA,NA,NA,"mesothelioma","CVCL_5113","ACCMESO1_52_2019",NA,"pleura","Pleural epithelioid mesothelioma","Cancer cell line",NA,"ACH-000086",NA,NA,NA,NA
"76","ACCS","Bladder/Urinary Tract",NA,"ACCS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urinary_tract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_6876","ACCS_53_2019",NA,"urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-001011",NA,NA,NA,NA
"77","ACHN","Kidney","ACHN","ACHN","ACHN",NA,"ACHN",NA,"ACHN",NA,"ACHN","ACHN","ACHN",NA,"ACHN","ACHN","ACHN","ACHN///RE.ACHN","ACHN_KIDNEY","kidney","kidney","kidney",NA,"Kidney",NA,"Kidney","kidney","kidney",NA,NA,"kidney","kidney","Kidney","kidney","ACHN","kidney",NA,NA,"Renal Cancer///Renal","kidney","CVCL_1067","ACHN_54_2019","ACHN","kidney","Papillary renal cell carcinoma","Cancer cell line",TRUE,"ACH-000046",NA,NA,NA,NA
"78","ACN","Peripheral Nervous System","ACN",NA,NA,NA,NA,NA,"ACN","ACN",NA,NA,"ACN",NA,NA,NA,NA,NA,NA,"autonomic_ganglia",NA,NA,NA,NA,NA,"autonomic_ganglia",NA,"nervous_system",NA,NA,"autonomic_ganglia",NA,NA,"autonomic_ganglia",NA,NA,NA,NA,NA,NA,"CVCL_1068","ACN_55_2019",NA,"autonomic_ganglia","Neuroblastoma","Cancer cell line",TRUE,"ACH-002389",NA,NA,NA,NA
"79","AGPN","CNS/Brain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_X981","AGPN792021_",NA,NA,NA,NA,NA,"ACH-001022",NA,NA,NA,NA
"80","AGS","Esophagus/Stomach","AGS","AGS","AGS",NA,"AGS","AGS","AGS",NA,"AGS","AGS","AGS",NA,"AGS","AGS","AGS",NA,"AGS_STOMACH","stomach","stomach","stomach",NA,"Stomach","STOMACH","Stomach","stomach","digestive_system",NA,NA,"stomach","stomach","Stomach","stomach","AGS","stomach",NA,NA,NA,"gastric","CVCL_0139","AGS_56_2019","AGS","stomach","Gastric adenocarcinoma","Cancer cell line",NA,"ACH-000880",NA,NA,NA,NA
"81","ALL-PO","Lymphoid","ALL-PO",NA,NA,NA,NA,NA,"ALL-PO","ALL-PO",NA,NA,"ALL-PO",NA,NA,NA,"ALL-PO",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1069","ALLPO_58_2019","ALL-PO","haematopoietic_and_lymphoid_tissue","Childhood B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-002209",NA,NA,NA,NA
"82","ALL-SIL","Lymphoid",NA,"ALL-SIL",NA,NA,NA,NA,"ALL-SIL",NA,"ALL-SIL","ALL-SIL","ALL-SIL",NA,"ALLSIL",NA,"ALL-SIL",NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1805","ALLSIL_59_2019","ALL-SIL","haematopoietic_and_lymphoid_tissue","Childhood T acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-000105",NA,NA,NA,NA
"83","AM-38","CNS/Brain","AM-38","AM-38",NA,NA,NA,NA,"AM-38",NA,"AM-38","AM-38","AM-38",NA,"AM38","AM-38","AM-38",NA,NA,"central_nervous_system","central_nervous_system",NA,NA,NA,NA,"CNS","central_nervous_system",NA,NA,NA,"central_nervous_system","central_nervous_system","Brain","central_nervous_system","AM38","central_nervous_system",NA,NA,NA,NA,"CVCL_1070","AM38_60_2019","AM-38","central_nervous_system","Glioblastoma","Cancer cell line",NA,"ACH-000269",NA,NA,NA,NA
"84","AML-193","Myeloid","AML-193","AML-193",NA,NA,NA,NA,NA,NA,"AML-193","AML-193",NA,NA,"AML193",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_1071","AML193_61_2019",NA,"haematopoietic_and_lymphoid_tissue","Childhood acute myeloid leukemia","Cancer cell line",NA,"ACH-000557",NA,NA,NA,NA
"85","AMO1","Lymphoid",NA,"AMO-1",NA,NA,"AMO-1","AMO1","AMO-1",NA,"AMO-1","AMO-1","AMO-1",NA,"AMO1","AMO-1","AMO-1",NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","Blood","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1806","AMO1_62_2019","AMO-1","haematopoietic_and_lymphoid_tissue","Plasma cell myeloma","Cancer cell line",NA,"ACH-000838",NA,NA,NA,NA
"86","AN3-CA","Uterus","AN3-CA","AN3 CA","AN3CA",NA,"AN3 CA",NA,"AN3-CA",NA,"AN3_CA","AN3_CA","AN3-CA",NA,"AN3CA","AN3 CA","AN3-CA",NA,"AN3CA_ENDOMETRIUM","endometrium","endometrium","uterus",NA,"Uterus",NA,"Uterus","endometrium","urogenital_system",NA,NA,"endometrium","endometrium","Uterus","endometrium","AN3CA","endometrium",NA,NA,NA,"uterus","CVCL_0028","AN3CA_63_2019","AN3-CA","endometrium","Endometrial adenocarcinoma","Cancer cell line",TRUE,"ACH-000940",NA,NA,NA,NA
"87","ANGM-CSS","CNS/Brain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2297","ANGM-CSS872021_",NA,NA,NA,NA,NA,"ACH-001329",NA,NA,NA,NA
"88","ARH-77","Lymphoid","ARH-77",NA,"ARH77",NA,NA,NA,"ARH-77","ARH-77",NA,NA,"ARH-77",NA,NA,NA,"ARH-77",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"hematopoietic_and_lymphatic_system",NA,NA,NA,"Blood",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1072","ARH77_64_2019","ARH-77","haematopoietic_and_lymphoid_tissue",NA,"Transformed cell line",NA,"ACH-002210",NA,NA,NA,NA
"89","ASH-3","Thyroid",NA,NA,NA,NA,NA,NA,"ASH-3","ASH-3",NA,NA,"ASH-3",NA,NA,"ASH-3","ASH-3",NA,NA,NA,NA,NA,NA,NA,NA,"Thyroid",NA,NA,NA,NA,"thyroid",NA,NA,"thyroid",NA,NA,NA,NA,NA,NA,"CVCL_2856","ASH3_65_2019","ASH-3","thyroid","Thyroid gland undifferentiated (anaplastic) carcinoma","Cancer cell line",NA,"ACH-001443",NA,NA,NA,NA
"90","ATN-1","Lymphoid","ATN-1",NA,NA,NA,NA,NA,"ATN-1","ATN-1",NA,NA,"ATN-1",NA,NA,NA,"ATN-1",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1073","ATN1_68_2019","ATN-1","haematopoietic_and_lymphoid_tissue","Adult T acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-002058",NA,NA,NA,NA
"91","ATRFLOX","Bowel",NA,NA,NA,NA,"ATRFLOX",NA,NA,NA,NA,NA,NA,NA,NA,"ATRFLOX",NA,NA,NA,NA,NA,NA,NA,"Colon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2299","ATRFLOX_69_2019",NA,"large_intestine","Colon carcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"92","AU565","Breast","AU565","AU565",NA,"AU565",NA,NA,"AU565",NA,"AU565","AU565","AU565","au565///AU655///au655","AU565","AU565","AU565",NA,NA,"breast","breast",NA,"breast",NA,NA,"Breast","breast","breast","au565///au655///AU655","breast","breast","breast","Breast","breast","AU565","breast",NA,NA,NA,NA,"CVCL_1074","AU565_70_2019","AU565","breast","Breast adenocarcinoma","Cancer cell line",TRUE,"ACH-000248",NA,NA,NA,NA
"93","AZ-521","Esophagus/Stomach",NA,"AZ-521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stomach",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stomach",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2862","AZ521_72_2019",NA,"stomach","Duodenal adenocarcinoma","Cancer cell line",NA,"ACH-001015",NA,NA,NA,NA
"94","AsPC-1","Pancreas","AsPC-1","AsPC-1","ASPC1",NA,"AsPC-1",NA,"AsPC-1",NA,"AsPC-1","AsPC-1","AsPC-1",NA,"ASPC1","AsPC-1","AsPC-1",NA,"ASPC1_PANCREAS","pancreas","pancreas","pancreas",NA,"Pancreas",NA,"Pancreas","pancreas","pancreas",NA,NA,"pancreas","pancreas","Pancreas","pancreas","ASPC1","pancreas",NA,NA,NA,"pancreas","CVCL_0152","AsPC1_67_2019","AsPC-1","pancreas","Pancreatic ductal adenocarcinoma","Cancer cell line",TRUE,"ACH-000222",NA,NA,NA,NA
"95","Aska-SS","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ASKA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_6C43","ASKA_66_2019",NA,NA,"Biphasic synovial sarcoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"96","B-CPAP","Thyroid","BCPAP","B-CPAP",NA,NA,NA,NA,"BCPAP",NA,"B-CPAP","B-CPAP","BCPAP///B-CPAP",NA,"BCPAP","B-CPAP","BCPAP",NA,"BCPAP_THYROID","thyroid","thyroid",NA,NA,NA,NA,"Thyroid","thyroid","thyroid",NA,NA,"thyroid","thyroid","Thyroid","thyroid","BCPAP","thyroid",NA,NA,NA,"thyroid","CVCL_0153","BCPAP_82_2019","BCPAP","thyroid","Poorly differentiated thyroid gland carcinoma","Cancer cell line",NA,"ACH-000456",NA,NA,NA,NA
"97","B2-17","CNS/Brain","B2-17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"central_nervous_system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"central_nervous_system",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B2-17972021_",NA,"central_nervous_system","Astrocytoma",NA,NA,NA,NA,NA,NA,NA
"98","BALL-1","Lymphoid","BALL-1",NA,NA,NA,NA,NA,"BALL-1","BALL-1",NA,NA,"BALL-1",NA,NA,NA,"BALL-1",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1075","BALL1_73_2019","BALL-1","haematopoietic_and_lymphoid_tissue","Adult B acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-002211",NA,NA,NA,NA
"99","BB30-HNC","Head and Neck","BB30-HNC",NA,NA,NA,NA,NA,"BB30-HNC","BB30-HNC",NA,NA,"BB30-HNC",NA,NA,NA,"BB30-HNC",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,"H&N",NA,"aero_digestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,"CVCL_1076","BB30HNC_74_2019","BB30-HNC","upper_aerodigestive_tract","Head and neck squamous cell carcinoma","Cancer cell line",NA,"ACH-002212",NA,NA,NA,NA
"100","BB30-PBL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_VU86","BB30-PBL1002021_",NA,NA,NA,NA,NA,"ACH-002342",NA,NA,NA,NA
"101","BB49-EBV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_VU51","BB49-EBV1012021_",NA,NA,NA,NA,NA,"ACH-002343",NA,NA,NA,NA
"102","BB49-HNC","Head and Neck","BB49-HNC",NA,NA,NA,NA,NA,"BB49-HNC","BB49-HNC",NA,NA,"BB49-HNC",NA,NA,NA,"BB49-HNC",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,"H&N",NA,"aero_digestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,"upper_aerodigestive_tract",NA,NA,NA,NA,NA,NA,"CVCL_1077","BB49HNC_75_2019","BB49-HNC","upper_aerodigestive_tract","Floor of mouth squamous cell carcinoma","Cancer cell line",NA,"ACH-002213",NA,NA,NA,NA
"103","BB65-EBV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_6F66","BB65-EBV1032021_",NA,NA,NA,NA,NA,"ACH-002344",NA,NA,NA,NA
"104","BB65-RCC","Kidney","BB65-RCC",NA,NA,NA,NA,NA,"BB65-RCC","BB65-RCC",NA,NA,"BB65-RCC",NA,NA,NA,"BB65-RCC",NA,NA,"kidney",NA,NA,NA,NA,NA,"Kidney",NA,"kidney",NA,NA,"kidney",NA,NA,"kidney",NA,NA,NA,NA,NA,NA,"CVCL_1078","BB65RCC_76_2019","BB65-RCC","kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-002090",NA,NA,NA,NA
"105","BC-1","Lymphoid","BC-1",NA,"BC1",NA,NA,NA,"BC-1","BC-1",NA,NA,"BC-1",NA,NA,NA,"BC-1",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"hematopoietic_and_lymphatic_system",NA,NA,NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1079","BC1_77_2019","BC-1","haematopoietic_and_lymphoid_tissue","Primary effusion lymphoma","Cancer cell line",NA,"ACH-002214",NA,NA,NA,NA
"106","BC-2","Lymphoid",NA,NA,"BC2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"hematopoietic_and_lymphatic_system",NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1856","BC2_78_2019",NA,"haematopoietic_and_lymphoid_tissue","Primary effusion lymphoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"107","BC-3","Lymphoid","BC-3",NA,"BC3",NA,NA,NA,NA,"BC-3",NA,NA,"BC-3",NA,NA,NA,"BC-3",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,"hematopoietic_and_lymphatic_system",NA,NA,NA,NA,NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1080","BC3_79_2019","BC-3","haematopoietic_and_lymphoid_tissue","Primary effusion lymphoma","Cancer cell line",NA,"ACH-002215",NA,NA,NA,NA
"108","BC-3C","Bladder/Urinary Tract",NA,"BC-3C",NA,NA,NA,NA,NA,NA,"BC-3C","BC-3C",NA,NA,"BC3C",NA,NA,NA,"BC3C_URINARY_TRACT",NA,"urinary_tract",NA,NA,NA,NA,NA,"urinary_tract",NA,NA,NA,"urinary_tract","urinary_tract",NA,NA,"BC3C","urinary_tract",NA,NA,NA,"urinary_tract","CVCL_1958","BC3C_80_2019",NA,"urinary_tract","Bladder carcinoma","Cancer cell line",NA,"ACH-000593",NA,NA,NA,NA
"109","BCP-1","Lymphoid",NA,"BCP-1",NA,NA,NA,NA,NA,NA,"BCP-1","BCP-1",NA,NA,"BCP1",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_0107","BCP1_81_2019",NA,"haematopoietic_and_lymphoid_tissue","Primary effusion lymphoma","Cancer cell line",NA,"ACH-000923",NA,NA,NA,NA
"110","BDCM","Myeloid",NA,"BDCM","BDCM",NA,NA,NA,NA,NA,"BDCM","BDCM",NA,NA,"BDCM",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_4613","BDCM_83_2019",NA,"haematopoietic_and_lymphoid_tissue","Acute myeloid leukemia","Cancer cell line",NA,"ACH-000080",NA,NA,NA,NA
"111","BE-13","Lymphoid","BE-13",NA,NA,NA,NA,NA,"BE-13","BE-13",NA,NA,"BE-13",NA,NA,NA,"BE-13",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1081","BE13_84_2019","BE-13","haematopoietic_and_lymphoid_tissue","Childhood T acute lymphoblastic leukemia","Cancer cell line",NA,"ACH-002216",NA,NA,NA,NA
"112","BEN","Lung","BEN","BEN",NA,NA,"BEN","BEN","BEN",NA,"BEN","BEN","BEN",NA,"BEN","BEN","BEN",NA,"BEN_LUNG","lung","lung",NA,NA,"Lung","LUNG","Lung:NSCLC","lung","lung",NA,NA,"lung","lung","Lung","lung",NA,NA,NA,NA,NA,"lung","CVCL_1082","BEN_87_2019","BEN","lung","Non-small cell lung carcinoma","Cancer cell line",TRUE,"ACH-000603",NA,NA,NA,NA
